R_kpc,n_stars,Rbirth_median_kpc,Rguide_median_kpc,deltaR_guide_median_kpc,abs_deltaR_guide_median_kpc,outward_guide_fraction_gt0p5,inward_guide_fraction_gt0p5,outward_guide_fraction_gt1,inward_guide_fraction_gt1,inner_born_fraction_lt6,guide_history_distance_time_median,epicycle_offset_median_kpc,age_median_gyr,n_young,Vphi_young_median_kms,Vphi_young_bootstrap_se_kms,Vr_young_median_kms,Vz_young_median_kms,Vbar_mcmillan17_kms,chi_young,gres_young_kms2perkpc
5.0,2661,3.4648506872993203,4.50574753545178,1.0136775268589182,1.5267747113723231,0.5967681322810974,0.229988726042841,0.5043216835776024,0.1664787673806839,0.8880120255543029,10.353497540361332,0.4976991076296402,7.72,52,221.68843416110266,2.3804160987644982,-14.796932857299826,-2.2823419961940203,185.6118180253897,0.4265100069985364,2938.8029700222323
5.5,3479,3.619320529908224,5.1557354453830255,1.4048652626315308,1.7779821844958068,0.6924403564242598,0.1747628628916355,0.5924116125323369,0.1195745903995401,0.8764012647312446,11.20981173680639,0.3490301167532603,7.28,124,225.06457881334023,1.6522331953155127,-15.366610750143831,-1.3957684027225818,185.38222216590256,0.47393432481730224,2961.3629711378508
6.0,4663,3.701882737853024,5.730030041877224,1.869128603470416,2.1120842287146555,0.7488741153763672,0.1336049753377653,0.6620201586961184,0.0997212095217671,0.8563156766030452,13.705435503449142,0.2940633823014513,7.14,167,231.1488832653825,0.7538326378782312,-13.706934398109194,-0.7084818618934701,184.6548424366739,0.566975466052074,3222.065899920092
6.5,4974,3.815746898363518,6.251449656269828,2.2628340798076936,2.4254719975314805,0.7784479292320065,0.1164053075995174,0.7052673904302372,0.0846401286690792,0.8092078809811017,14.603708916479365,0.228168320894941,6.69,166,233.19769457901873,1.1594270653446188,-11.467816738844288,0.0846926605983684,183.46774927629227,0.6155821227211223,3187.8076511478253
7.0,6570,4.26768396103652,6.763333121463399,2.314407811079548,2.461554397131388,0.7715372907153729,0.1299847792998477,0.7062404870624048,0.0905631659056316,0.7275494672754946,14.158172436357628,0.2576409915048234,6.19,129,231.5410513064131,1.1044593670634866,-9.973863843817272,-1.2679273035478225,181.8778898422391,0.6206759520882099,2933.098803801908
7.5,8733,4.384742843411562,7.153768914616156,2.5527052164109643,2.72487032359118,0.7831214931867628,0.1228672850108782,0.721630596587656,0.0887438451849307,0.7058284667353716,17.500720105604604,0.3510876601639419,6.95,106,226.9565616264012,1.2575857203964778,-7.266116253740416,-0.654618448523565,179.9525725304046,0.5906307265407699,2550.1803339957214
8.0,26902,5.121944967594048,7.757283976790966,2.407887946235386,2.634256410727396,0.7490892870418556,0.1488736896884989,0.6880157609099695,0.1083190840829678,0.6009962084603375,15.3165838928891,0.2563607096836113,6.27,190,228.24317996218429,0.7930707702004086,-4.809751436899749,2.665682299523624,177.75907565631945,0.6486636107166712,2562.0825276326173
8.5,16119,5.618480200916696,8.173853517310391,2.380298872238112,2.6170783285644754,0.7530864197530864,0.1431850611080092,0.6912339475153545,0.1009367826788262,0.5458775358272846,14.26633093287293,0.31760075258601,5.96,70,226.3207618507767,1.9784507032667045,-8.409480470113788,3.5093734006491495,175.35996517009454,0.6656658879851245,2408.23174826579
9.0,15478,6.392451677402619,8.623889406169674,2.1725288684562782,2.433647586295724,0.7325235818581212,0.1499547745186716,0.6618426153249773,0.1049877245122108,0.4568419692466727,11.736916341829517,0.3708008134622718,5.32,119,217.99814857376052,1.5698670880514838,-13.080927487254282,2.1387125844467056,172.81244205921985,0.5913129450225866,1962.1169612351275
9.5,13550,7.14150137538411,9.037806773768176,1.891863505836731,2.2024356586482607,0.7005166051660516,0.1614760147601476,0.6264944649446494,0.111660516605166,0.3763837638376384,9.566451475071238,0.4510203654009661,4.87,337,216.6696856724947,0.6537796665584344,-11.926345659598756,-0.4916449623000669,170.166340367629,0.6212462655025778,1893.596767926936
10.0,10045,8.06365355102926,9.56337793282598,1.573007126309717,1.8986524813118493,0.6800398208063714,0.1741164758586361,0.5955201592832254,0.1173718267794922,0.2806371329019412,7.337973790242031,0.4257460577856609,4.4,640,214.83137768040658,0.343993078862002,-4.763078781744047,-0.16330671969765032,167.46240639728975,0.6457382830071123,1810.886327969046
10.5,7813,8.629842369406502,9.915011195907718,1.398520304407743,1.7439923831023858,0.6633815435812108,0.1780366056572379,0.5695635479329323,0.1169845129911685,0.2169461154486112,6.291760129665282,0.573590848822823,4.17,555,211.20451481312705,0.6261773472383398,-4.004657117762426,0.5813418449732898,164.73352946925465,0.6437750659822767,1663.8296520048202
